type	value	label	sort	active
role	CARD_DB	カードDB	1	TRUE
role	FACILITATOR	ファシリテーター	2	TRUE
role	PLAYER	プレイヤー	3	TRUE
domain	EC	ECサイト	1	TRUE
domain	B2B	B2Bサイト	2	TRUE
game_mode	STD	標準版	1	TRUE
game_mode	SHORT	短時間版	2	TRUE
game_mode	MASTER	マスター講座版	3	TRUE
game_mode	TEST	テストプレイ版	4	TRUE
game_mode	CUSTOM	カスタム版	5	TRUE
ai_mode	OFF	AI禁止	1	TRUE
ai_mode	FREE	AI自由	2	TRUE
ai_mode	COMPARE	AI比較	3	TRUE
support_mode	NONE	サポートなし	1	TRUE
support_mode	OBSERVE	観察のみ	2	TRUE
support_mode	ADVISE	助言あり	3	TRUE
group_id	G1	G1	1	TRUE
group_id	G2	G2	2	TRUE
group_id	G3	G3	3	TRUE
group_id	G4	G4	4	TRUE
group_id	G5	G5	5	TRUE
group_id	G6	G6	6	TRUE
group_id	G7	G7	7	FALSE
group_id	G8	G8	8	FALSE
group_id	G9	G9	9	FALSE
group_id	G10	G10	10	FALSE
strategy_type	INFLOW	集客重視型	1	TRUE
strategy_type	AD	広告活用型	2	TRUE
strategy_type	UX	導線改善型	3	TRUE
strategy_type	CVR	CVR改善型	4	TRUE
strategy_type	AOV	客単価向上型	5	TRUE
strategy_type	BALANCE	バランス型	6	TRUE
