id	name	label	general_inflow	ad_inflow	bounce	browse	cvr	aov	cpc	objective	mod_general_inflow	mod_ad_inflow	mod_bounce	mod_browse	mod_cvr	mod_aov	mod_cpc	difficulty
M01	新規立ち上げ	M01｜新規立ち上げ	6500	2500	0.58	1.45	0.012	3800	55	売上立ち上げ・拡大	1.1	1	1	0.95	1	1	1	中級
M02	広告依存型	M02｜広告依存型	5500	3500	0.6	1.4	0.011	4200	55	CPA改善・効率化	1	1.45	1	1	0.9	1	1.2	初中級
M03	コンテンツ型	M03｜コンテンツ型	8500	1500	0.54	1.75	0.012	4000	40	CVR向上・最適化	1.15	0.85	1	1.15	1	1	0.85	初中級
M04	ブランド強化	M04｜ブランド強化	7500	2500	0.52	1.6	0.012	5200	45	AOV向上・価値強化	0.95	1	1	1	1	1.05	1	初級
M05	価格競争型	M05｜価格競争型	6500	3000	0.61	1.45	0.01	3400	60	利益改善・最適化	1	1.25	1	1	0.95	1	1.2	初中級
M06	リピーター重視	M06｜リピーター重視	7000	1000	0.53	1.7	0.013	4800	35	LTV向上・関係強化	1.05	0.85	1	1.05	1	1	1	中級
M07	改善停滞	M07｜改善停滞	7000	2500	0.64	1.35	0.009	4200	55	構造改善・全体最適化	1	1	1.15	1	0.95	1	1	上級
M08	急成長	M08｜急成長	8500	3500	0.58	1.45	0.011	3900	60	利益維持・成長制御	1.1	1.25	1	1	1	1	0.9	中級
M09	高単価	M09｜高単価	5500	1000	0.56	1.45	0.01	7800	45	CVR改善・検討短縮	1	0.9	1	1	0.95	1.025	1	上級
M10	激戦区	M10｜激戦区	6500	3500	0.62	1.4	0.01	3600	65	差別化強化・競争優位	1	1.25	1	1	1	1	0.8	上級
M11	大量販売	M11｜大量販売	10000	4000	0.63	1.35	0.009	3000	45	売上拡大・効率改善	1.2	1.1	1	1	1	0.9	1	最難関
M12	バランス型	M12｜バランス型	8000	2500	0.57	1.55	0.011	4200	50	安定成長・バランス最適化	1.05	1.1	1.05	1.05	1.05	1.025	1.05	初級
