key	action_a	action_b	general_inflow	ad_inflow	bounce	browse	cvr	aov	cpc	description
A01_A13	A01	A13	500	0	0	0	0.001	0	0	SEO×LP改善で流入と成約が噛み合う
A02_A11	A02	A11	300	0	0	0.03	0.0005	0	0	SNS×コンテンツで回遊が強化
A06_A10	A06	A10	0	0	-0.02	0.03	0.0005	0	0	導線改善×商品説明で購買導線が最適化
A05_A14	A05	A14	0	0	-0.03	0	0.0015	0	0	UI改善×フォーム改善でCVR上昇
A11_A13	A11	A13	0	0	0	0.02	0.001	0	0	コンテンツ×LP改善でCVR強化
A13_A22	A13	A22	0	300	0	0	0.001	0	-3	LP改善×ターゲティングでCPA改善
A17_A16	A17	A16	300	0	0	0	0.0015	200	0	CRM×キャンペーンで売上増加
A18_A12	A18	A12	200	0	0	0.02	0.0005	100	0	LINE×動画でエンゲージ強化
A21_A03	A21	A03	0	500	0	0	0.0005	0	-5	広告精査×出稿で効率改善
A10_A19	A10	A19	200	200	0	0.02	0.0005	0	0	レビュー×リターゲで信頼強化
