id	name	label	general_inflow	ad_inflow	bounce	browse	cvr	aov	cpc
C00	指定なし	C00｜指定なし	0	0	0	0	0	0	0
C01	競合の広告強化でCPC上昇	C01｜競合の広告強化でCPC上昇	0	-200	0	0	0	0	5
C02	競合の価格攻勢でCVR低下	C02｜競合の価格攻勢でCVR低下	-300	-100	0	0	-0.001	0	0
C03	自社ブランド向上でCVR改善	C03｜自社ブランド向上でCVR改善	400	100	0	0.01	0.0003	0	0
C04	競合UX改善で離脱増加	C04｜競合UX改善で離脱増加	-200	-30	0.02	-0.01	-0.0005	0	0
C05	自社CRM強化でリピート増	C05｜自社CRM強化でリピート増	400	100	0	0.02	0.0005	200	0
C06	競合の囲い込みで流入減	C06｜競合の囲い込みで流入減	-500	-200	0	0	-0.0005	0	0
C07	自社コンテンツ改善で回遊増	C07｜自社コンテンツ改善で回遊増	300	0	0	0.03	0.0003	0	0
C08	競合最適化でCPC上昇	C08｜競合最適化でCPC上昇	0	-300	0	0	0	0	10
C09	価格戦略成功でAOV上昇	C09｜価格戦略成功でAOV上昇	200	0	0	0	0.0005	300	0
C10	競合在庫不足で流入増	C10｜競合在庫不足で流入増	800	200	0	0.005	0.0003	0	0
C11	顧客の比較検討期間が長期化	C11｜顧客の比較検討期間が長期化	0	0	0	0.03	-0.0003	0	0
C12	顧客のレビュー依存が強まる	C12｜顧客のレビュー依存が強まる	200	0	0	0.02	-0.0001	0	0
C13	顧客のスマホ利用がさらに加速	C13｜顧客のスマホ利用がさらに加速	300	100	0.01	-0.01	0.0001	0	0
C14	顧客の価格感度が急上昇	C14｜顧客の価格感度が急上昇	0	0	0.01	0	-0.0003	-200	0
