id	name	label	general_inflow	ad_inflow	bounce	browse	cvr	aov	cpc
T00	指定なし	T00｜指定なし	0	0	0	0	0	0	0
T01	市場が拡大し新規流入が増加	T01｜市場が拡大し新規流入が増加	1200	0	0	0	0	0	0
T02	広告競争が激化しCPCが上昇	T02｜広告競争が激化しCPCが上昇	0	-300	0	0	0	0	8
T03	季節需要で購買意欲が上昇	T03｜季節需要で購買意欲が上昇	800	200	0	0.01	0.0005	200	0
T04	市場が停滞し流入が減少	T04｜市場が停滞し流入が減少	-1200	-400	0	0	0	0	0
T05	比較検討が増えCVRが低下	T05｜比較検討が増えCVRが低下	0	0	0	0	-0.001	0	0
T06	ユーザーの関心が高まり回遊が増加	T06｜ユーザーの関心が高まり回遊が増加	300	0	0	0.015	0	0	0
T07	景気悪化で購買意欲が低下	T07｜景気悪化で購買意欲が低下	-1000	-400	0.01	-0.01	-0.001	-100	0
T08	セール時期で全体的に改善	T08｜セール時期で全体的に改善	1000	500	-0.01	0.015	0.001	300	0
T09	市場競争激化で総合的に悪化	T09｜市場競争激化で総合的に悪化	-600	-400	0.01	-0.02	-0.001	-200	5
T10	ブランド需要増で安定成長	T10｜ブランド需要増で安定成長	500	200	0	0.01	0.0005	100	0
