id	name	label	mission_1	mission_2	mission_3	mission_4
Q01	流入が少ない	Q01｜流入が少ない	M01	M08	M03	M11
Q02	CVRが低い	Q02｜CVRが低い	M03	M07	M09	M02
Q03	CPAが高い	Q03｜CPAが高い	M02	M10	M05	M08
Q04	回遊が低い	Q04｜回遊が低い	M03	M07	M06	M01
Q05	AOVが低い	Q05｜AOVが低い	M04	M09	M12	M05
Q06	離脱率が高い	Q06｜離脱率が高い	M07	M03	M01	M11
Q07	広告効率が悪い	Q07｜広告効率が悪い	M02	M10	M08	M05
Q08	リピーターが少ない	Q08｜リピーターが少ない	M06	M03	M12	M01
Q09	売上が伸びない	Q09｜売上が伸びない	M01	M03	M08	M12
Q10	競合に負けている	Q10｜競合に負けている	M10	M02	M05	M07
Q11	価格競争に巻き込まれている	Q11｜価格競争に巻き込まれている	M05	M10	M02	M09
Q12	新規顧客が増えない	Q12｜新規顧客が増えない	M01	M08	M06	M11
Q13	利益が出ない	Q13｜利益が出ない	M02	M05	M04	M08
Q14	成長が止まっている	Q14｜成長が止まっている	M07	M12	M03	M01
Q15	サイト改善が進まない	Q15｜サイト改善が進まない	M07	M03	M01	M12
Q16	単価が低い	Q16｜単価が低い	M04	M09	M05	M11
Q17	トラフィックはあるが売れない	Q17｜トラフィックはあるが売れない	M03	M07	M02	M06
Q18	広告依存が高い	Q18｜広告依存が高い	M02	M08	M01	M06
Q19	競争が激化している	Q19｜競争が激化している	M10	M02	M05	M08
Q20	売上はあるが利益が低い	Q20｜売上はあるが利益が低い	M04	M02	M05	M09
